IS3547C	SC706
PI534117	SC991
PI534123	SC13
PI534124	SC15
PI534127	SC21
PI534128	SC23
PI534132	SC33
PI534133	SC35
PI534135	SC38
PI534137	SC51
PI534138	SC62
PI534139	SC67
PI534144	SC84
PI534145	SC91
PI534148	SC135
PI534155	SC155
PI534157	SC170
PI534163	SC599
PI534167	SC998
PI540816	Tx2882
PI542718	San_Chi_San
PI548797	Tx2891
PI552856	BTx626
PI552861	BTx631
PI561071	RTx436
PI561073	BTx635
PI561472	SURENO
PI564164	RTx433
PI564165	RTx434
PI576130	ICSV745
PI576332	SC609
PI576333	SC659
PI576337	SC598
PI576339	SC673
PI576340	SC650
PI576345	SC627
PI576347	SC941
PI576348	SC937
PI576349	SC942
PI576350	SC755
PI576352	SC757
PI576359	SC910
PI576364	SC782
PI576366	SC624
PI576373	SC749
PI576375	SC1014
PI576376	SC1017
PI576380	SC982
PI576381	SC1038
PI576385	SC1070
PI576386	SC970
PI576387	SC1056
PI576390	SC192
PI576391	SC213
PI576393	SC42
PI576394	SC734
PI576396	SC324
PI576399	SC323
PI576401	SC1085
PI576418	SC1124
PI576422	SC1080
PI576425	SC1155
PI576426	SC1033
PI576428	SC979
PI576434	SC1103
PI576435	SC1104
PI576437	SC1203
PI585291	RTx2903
PI585295	RTx2907
PI586788	SC679
PI595699	SC929
PI595702	SC672
PI595714	SC1079
PI595718	SC1246
PI595720	SC1154
PI595739	SC1055
PI595740	SC1057
PI595741	SC1063
PI595743	SC1201
PI595744	SC1211
PI595745	SC1214
PI597945	SC855
PI597946	SC606
PI597949	SC1108
PI597950	SC449
PI597951	SC532
PI597952	SC738
PI597957	SC1158
PI597958	SC184
PI597960	SC1076
PI597961	SC1077
PI597964	SC1319
PI597965	SC1205
PI597966	SC1212
PI597967	SC1320
PI597968	SC1321
PI597969	SC1322
PI597971	SC1328
PI597972	SC1329
PI597973	SC1330
PI597976	SC1337
PI597980	SC1345
PI597982	SC1356
PI598069	Tx2909
PI598070	Tx2910
PI601816	ICSV400
PI607931	Tx2911
PI609456	CSM228
PI613536	KS115
PI629034	RTx437
PI629040	RTx2917
PI629059	BTx2928
PI641849	Waconia_Amber
PI641874	Day
PI642992	Early_Hegari
PI642998	BLACK_SPANISH_BROOMCORN
PI642998	SPAN_BROOM
PI65121	PI65121	
PI651492	COWLEY
PI651496	RIO
PI653616	WRAY
PI655970	STD_BH_KAFIR
PI655971	Std_White_Milo
PI655972	Pink_Kafir
PI655973	SPUR_FETERITA
PI655973	Spur_Feter
PI655974	TEX_BH_KAFIR
PI655975	WHEAT_LAND
PI655976	Red_Kafir_Bazi
PI655977	RTAM2566
PI655978	RTX2737
PI655979	Tx2741
PI655980	Tx2785
PI655981	CSM_63
PI655982	BQL33
PI655983	SUGAR_DRIP
PI655985	Plainsman
PI655986	Caprock
PI655987	SA_5330
PI655987	Martin
PI655988	Combine_kafir_60
PI655988	Comb_kafir_60
PI655989	Redbine_60
PI655990	Combine_7078
PI655990	Comb_7078
PI655991	BTx378
PI655992	BTx3197
PI655993	BTx399
PI655994	Wiley
PI655995	Deer_Broomcorn
PI655995	Deer_Broom
PI655996	RTx430
PI655997	RTx431
PI655998	KS19
PI655999	Tx2784
PI656000	RTX432
PI656001	RTx2783
PI656003	BAZ9504
PI656004	RTx435
PI656010	RTX2536
PI656011	90EON328
PI656012	90M
PI656013	94Q63
PI656014	Acme_Broomcorn
PI656014	Acme_Broom
PI656015	Ajabsido
PI656016	B KS66
PI656017	100M
PI656018	BTx2752
PI656019	BTx3042
PI656022	BTx615
PI656023	Segao_lane
PI656024	SEPON82
PI656025	Shan_Qui_Red
PI656026	SOBERANO
PI656027	SRN39
PI656028	Town
PI656029	BTx642
PI656030	58M
PI656031	CE151_262
PI656032	CE260_12
PI656033	60M
PI656034	Dorado
PI656035	El_Mota
PI656036	ICSV1089BF
PI656037	ICSV401
PI656038	IS8525(J)
PI656038	IS8525J
PI656041	80M
PI656042	NSA440_KARPER
PI656042	Karper
PI656043	KAT83369
PI656044	Kuyuma
PI656046	LianTang_Ai
PI656047	M35_1
PI656048	Malisor_84_7
PI656049	Marupantse
PI656050	Mota_Maradi
PI656051	MR732
PI656052	N250B
PI656053	N290B
PI656055	P_721
PI656056	P850029
PI656058	P9517
PI656059	Pinolero_1
PI656062	96CD635
PI656063	BQL41
PI656064	Chiragon_2
PI656065	Koro_Kollo
PI656066	Lakahiri
PI656067	Rambharose
PI656068	SC170_6_17
PI656069	SC326_6
PI656070	SC748_5
PI656071	SC1019
PI656072	SC1047
PI656074	SC1218
PI656075	SC1251
PI656076	SC1271
PI656077	SC1416
PI656078	SC1424
PI656079	SC1426
PI656080	SC1429
PI656081	SC1439
PI656082	SC145
PI656083	SC1451
PI656085	SC1465
PI656086	SC1471
PI656087	SC1476
PI656088	SC1484
PI656089	SC1489
PI656090	SC1494
PI656091	SC22
PI656092	SC25
PI656093	SC295
PI656094	SC301
PI656095	SC373
PI656096	SC391
PI656097	SC480
PI656099	SC498
PI656100	SC500
PI656101	SC525
PI656102	SC59
PI656103	SC610
PI656104	SC621
PI656105	SC639
PI656106	SC695
PI656107	SC702
PI656108	SC833
PI656109	SC85
PI656110	SC968
PI656111	SC971
PI656112	SC1215
PI656113	SC1277
PI656114	SC134
PI656115	SC1440
PI656116	SC1506
PI656117	SC172
PI656118	SC332
PI656119	SC386
PI656120	SC790
PI656121	SC947
